# Steps, Time, visc, Nusselt bottom/top, av_T, vrms, surf_rms, surf_max, grav, etamax, etamin
1.400000000000000000e+01 1.489153342111303534e-06 1.292164973897635355e+05 1.003287850246837865e+00 1.000006084591904765e+00 4.999983633810774486e-01 2.094234628275414252e+03 3.400962828827134388e+01 4.806871634713666452e+01 4.804950950362628426e+00 1.869521597760946729e+00 1.999956079484644912e-05
1.500000000000000000e+01 1.580290287006608293e-06 1.337510979755165172e+05 1.003596776052383399e+00 1.000006232129251327e+00 4.999984440131448604e-01 2.127471560727598899e+03 2.308314247203161784e+01 3.196199297972393438e+01 2.308690931120520151e+00 1.987076708831902572e+00 1.999956051144227606e-05
1.600000000000000000e+01 1.669217076875347295e-06 1.391010192447715090e+05 1.003912021791363962e+00 1.000006584107388186e+00 4.999983620694479769e-01 2.177090737737690233e+03 2.289818060149214318e+01 3.168568369502019877e+01 2.276515463335805567e+00 1.990042674771634212e+00 1.999956025172377338e-05
1.700000000000000000e+01 1.756015635315614712e-06 1.445756718869784090e+05 1.004235452632952885e+00 1.000006942669611654e+00 4.999982709302405737e-01 2.227359319765730561e+03 2.289323999893481343e+01 3.167150277284235571e+01 2.313852829568295189e+00 1.991772196417703089e+00 1.999956000598843619e-05
1.800000000000000000e+01 1.840773495448941555e-06 1.501477897983481234e+05 1.004566748736401394e+00 1.000007302448626678e+00 4.999981766309886111e-01 2.277932603985469086e+03 2.296701229790558330e+01 3.177072285018055098e+01 2.388769057128551587e+00 1.992823353790075247e+00 1.999955977227538660e-05
1.900000000000000000e+01 1.923578023572970036e-06 1.558176329379061353e+05 1.004905880475399860e+00 1.000007661144747040e+00 4.999980821011666410e-01 2.328666354640563441e+03 2.308263783535435465e+01 3.192980519284276042e+01 2.485400874724436271e+00 1.993447791297369598e+00 1.999955954974299912e-05
2.000000000000000000e+01 2.004514196554814066e-06 1.615853494663456513e+05 1.005252814170878306e+00 1.000008017470627619e+00 4.999979888846981524e-01 2.379477510166495449e+03 2.322243379363841242e+01 3.212322793271672339e+01 2.595897926018845059e+00 1.993795144420833720e+00 1.999955933766428231e-05
2.100000000000000000e+01 2.083663406362973184e-06 1.674509979034790595e+05 1.005607533197361292e+00 1.000008370702609284e+00 4.999978978354202575e-01 2.430317426095421069e+03 2.337709219281584438e+01 3.233764242031118386e+01 2.716038235805871004e+00 1.993957482804805004e+00 1.999955913536926699e-05
2.200000000000000000e+01 2.161097948551336409e-06 1.734146049318351143e+05 1.005970005026610936e+00 1.000008720409168106e+00 4.999978094448893073e-01 2.481157127489103459e+03 2.354135073313652882e+01 3.256554333775926580e+01 2.843385172924070670e+00 1.993993481295875725e+00 1.999955894223588878e-05
2.300000000000000000e+01 2.236890666707373250e-06 1.794757962065319007e+05 1.006340218531072361e+00 1.000009066366687183e+00 4.999977239909147997e-01 2.531975882094422559e+03 2.371204442015910985e+01 3.280243875257014707e+01 2.976449629663683094e+00 1.993941471024569978e+00 1.999955875769650684e-05
2.400000000000000000e+01 2.311110743258746856e-06 1.856345390819729073e+05 1.006718167158814570e+00 1.000009408468466310e+00 4.999976416269598101e-01 2.582762901023152608e+03 2.388718815917636817e+01 3.304552343088045774e+01 3.114280046784255518e+00 1.993826949544817539e+00 1.999955858121356359e-05
2.500000000000000000e+01 2.383823344175479737e-06 1.918908490671508771e+05 1.007103855457756270e+00 1.000009746680279754e+00 4.999975624280197373e-01 2.633512081546508853e+03 2.406548446679335740e+01 3.329297118290618585e+01 3.256242706950055688e+00 1.993667134408607655e+00 1.999955841228833280e-05
2.600000000000000000e+01 2.455089838199317220e-06 1.982447569964831928e+05 1.007497288968078664e+00 1.000010081014535146e+00 4.999974864209154601e-01 2.684220151909519700e+03 2.424605681116122113e+01 3.354355298750109426e+01 3.401901204104519572e+00 1.993473831903089133e+00 1.999955825045951694e-05
