# Steps, Time, visc, Nusselt bottom/top, av_T, vrms, surf_rms, surf_max, grav, etamax, etamin
8.100000000000000000e+01 7.153399433685047153e-06 2.088107680761994328e+06 1.138237481503606707e+00 1.000033136234839581e+00 5.000021690256587492e-01 9.845693482947923258e+03 5.593893683437270425e+01 7.790189237194100258e+01 4.710131974185133430e+01 1.947302732951889714e+00 1.999955309506001961e-05
8.200000000000000000e+01 7.189835116241902528e-06 2.135270117696008645e+06 1.141303134074159731e+00 1.000033395911142042e+00 5.000022027210114794e-01 9.963799875219261594e+03 5.640541949269723432e+01 7.855021450285371998e+01 4.815220280190765578e+01 1.945591960028438816e+00 1.999955307821406911e-05
8.300000000000000000e+01 7.225800907352629483e-06 2.183129569635738153e+06 1.144398256849346485e+00 1.000033653584327276e+00 5.000022363022263994e-01 1.008239647367803627e+04 5.687447069895333840e+01 7.920218502672827299e+01 4.921810885755756715e+01 1.943837575140478835e+00 1.999955306184838629e-05
8.400000000000000000e+01 7.261307296850214020e-06 2.231684987488181330e+06 1.147522818274925749e+00 1.000033909278518429e+00 5.000022697565983387e-01 1.020146780771472186e+04 5.734620562207509664e+01 7.985797384692455125e+01 5.029913547802588880e+01 1.942037710174862708e+00 1.999955304594878505e-05
8.500000000000000000e+01 7.296365795201509820e-06 2.280944602210395504e+06 1.150676888139070764e+00 1.000034163026345402e+00 5.000023030744048524e-01 1.032102120684896181e+04 5.782083260487715393e+01 8.051788174990215907e+01 5.139550970246263262e+01 1.940189959323770363e+00 1.999955303049853818e-05
8.600000000000000000e+01 7.330980369068199737e-06 2.330918741124587134e+06 1.153859891689891448e+00 1.000034414806889815e+00 5.000023362406549321e-01 1.044106825044779180e+04 5.829858222617456676e+01 8.118224105681062497e+01 5.250737193917463941e+01 1.938291677204036390e+00 1.999955301548112175e-05
8.700000000000000000e+01 7.365159709678719533e-06 2.381607070542870555e+06 1.157071702192463913e+00 1.000034664634174453e+00 5.000023692470740855e-01 1.056159535378428518e+04 5.877958876458397697e+01 8.185125053281527130e+01 5.363482423875719718e+01 1.936340498935115617e+00 1.999955300088374218e-05
8.800000000000000000e+01 7.398914546405712308e-06 2.433016072079460602e+06 1.160312402597218018e+00 1.000034912538057874e+00 5.000024020897105848e-01 1.068260531262243967e+04 5.926404781136948685e+01 8.252519506086960632e+01 5.477808648430283256e+01 1.934333732600255207e+00 1.999955298669204735e-05
8.900000000000000000e+01 7.432250176619143471e-06 2.485155841391311493e+06 1.163581580836033025e+00 1.000035158509509303e+00 5.000024347614757669e-01 1.080410874364738447e+04 5.975218334863117775e+01 8.320439921554049079e+01 5.593733390490460522e+01 1.932268528126292573e+00 1.999955297289138698e-05
9.000000000000000000e+01 7.465172717587429352e-06 2.538028319912106264e+06 1.166878909317149660e+00 1.000035402546167518e+00 5.000024672585187124e-01 1.092609739172506124e+04 6.024413862334151304e+01 8.388907496872192837e+01 5.711266801684960370e+01 1.930142395347554718e+00 1.999955295946979078e-05
9.100000000000000000e+01 7.497692205503810761e-06 2.591636553906706162e+06 1.170204467259459591e+00 1.000035644675492774e+00 5.000024995833950436e-01 1.104856601382435292e+04 6.074005761191131825e+01 8.457943521451336721e+01 5.830427681556031416e+01 1.927952902222808129e+00 1.999955294641532239e-05
9.200000000000000000e+01 7.529816365618630790e-06 2.645990264425041620e+06 1.173558127696285647e+00 1.000035884908792028e+00 5.000025317387494228e-01 1.117152420425280980e+04 6.124013067978480507e+01 8.527575702182049611e+01 5.951238622012822077e+01 1.925697515281712180e+00 1.999955293371495442e-05
9.300000000000000000e+01 7.561547793141827605e-06 2.701095899518054910e+06 1.176939237968855023e+00 1.000036123219807394e+00 5.000025637244051024e-01 1.129497361733804792e+04 6.174450353899862165e+01 8.597935671492531640e+01 6.073708972880314860e+01 1.923374048514271184e+00 1.999955292135700122e-05
9.400000000000000000e+01 7.592895907784865227e-06 2.756950751834141091e+06 1.180347869744371891e+00 1.000036359634166594e+00 5.000025955492947149e-01 1.141889638061676669e+04 6.225322554866126978e+01 8.669028332915360124e+01 6.197850965568314763e+01 1.920980981143828092e+00 1.999955290933207088e-05
9.500000000000000000e+01 7.623869826010306266e-06 2.813564107863833662e+06 1.183784094791960007e+00 1.000036594176341165e+00 5.000026272242635850e-01 1.154330106276939296e+04 6.276643098959313960e+01 8.740775001569177505e+01 6.323689942386687335e+01 1.918516636812746423e+00 1.999955289762852856e-05
